# Fix print output for fix out
# Fix print output for fix out
1,60,1.87492874655085e-08,6.93232545785203e-11,4.85169969643267e-11,1.13965266891494e-09,0.533396316872561,7.6664e+18,0,0
2,120,3.61402193891382e-08,1.22281929908895e-10,7.96785479472986e-11,1.38138484316516e-09,0.566643477686889,7.8884e+18,0,0
3,180,3.72267040834325e-08,1.34813807584719e-10,8.84685030887535e-11,1.39122211455793e-09,0.599592992551918,7.7456e+18,0,0
4,240,3.73438657871483e-08,1.23730768604001e-10,8.71755217056541e-11,1.39011693640009e-09,0.632097700935643,7.8368e+18,0,0
# Fix print output for fix out
1,60,1.90853845136079e-08,1.44736088230225e-10,8.75174335651688e-11,2.59368915112421e-09,0.533396316872561,7.6664e+18,75000000000000,1
2,120,3.63358174375969e-08,2.54116349879427e-10,1.42638767526901e-10,2.97632602102606e-09,0.566643477686889,7.8884e+18,75000000000000,1
3,180,3.73696292485508e-08,2.58389060073946e-10,1.57830410625718e-10,3.00696973541927e-09,0.599592992551918,7.7456e+18,75000000000000,1
4,240,3.69770974146238e-08,2.47534400686342e-10,1.57237544692295e-10,2.99299472311828e-09,0.632097700935643,7.8368e+18,75000000000000,1
5,300,3.70675002054111e-08,2.53730458481884e-10,1.53476423226774e-10,2.9323244610427e-09,0.664012428919785,7.6768e+18,75000000000000,1
6,360,3.74874963918792e-08,2.65716290168369e-10,1.4955280950867e-10,2.95302748455946e-09,0.695194637581747,7.7316e+18,75000000000000,1
7,420,3.76380523693109e-08,2.53637175762537e-10,1.58730816056436e-10,2.96427407246567e-09,0.725505059608051,7.8148e+18,75000000000000,1
8,480,3.72035163331846e-08,2.44987712962857e-10,1.46902303275907e-10,2.98677620259835e-09,0.754808321295958,7.876e+18,75000000000000,1
9,540,3.74601901813758e-08,2.61519560789717e-10,1.47745048900247e-10,2.99086607146103e-09,0.782973547165297,7.7184e+18,75000000000000,1
10,600,3.74209619372444e-08,2.69090816681612e-10,1.57901769639756e-10,2.96069423091202e-09,0.809874944480122,7.75e+18,75000000000000,1
11,660,3.74528919511482e-08,2.54971276442905e-10,1.61394568335663e-10,2.93942471206938e-09,0.835392365069612,7.7964e+18,75000000000000,1
12,720,3.73325449021364e-08,2.71706353452542e-10,1.57222636859462e-10,2.9783043998498e-09,0.859411841938964,7.8088e+18,75000000000000,1
13,780,3.71360602356991e-08,2.61548202221806e-10,1.51695148884247e-10,2.97137486816758e-09,0.881826098273666,7.7624e+18,75000000000000,1
14,840,3.73473710587473e-08,2.63645367882972e-10,1.53850150087327e-10,2.98737145413423e-09,0.902535026563781,7.776e+18,75000000000000,1
15,900,3.74944253143238e-08,2.5534652007881e-10,1.53438185610637e-10,2.93928243478948e-09,0.921446135708399,7.7464e+18,75000000000000,1
16,960,3.69987371882079e-08,2.60929135961847e-10,1.57564260551059e-10,2.97804672703015e-09,0.938474964103336,7.7644e+18,75000000000000,1
17,1020,3.68832117778893e-08,2.57167899891684e-10,1.61618584154318e-10,2.92970690614933e-09,0.953545456867171,7.7372e+18,75000000000000,1
18,1080,3.692112689253e-08,2.58777869230591e-10,1.54430216355997e-10,2.99117551887286e-09,0.9665903055208,7.7704e+18,75000000000000,1
19,1140,3.69242340594619e-08,2.69525149980152e-10,1.54806761364471e-10,2.98497501625541e-09,0.977551248603455,7.7536e+18,75000000000000,1
20,1200,3.7126011633642e-08,2.54340654738002e-10,1.54004689116657e-10,2.94171792522393e-09,0.986379331882518,7.6624e+18,75000000000000,1
21,1260,3.75371993319611e-08,2.48716392641754e-10,1.51266066649495e-10,2.96578612268029e-09,0.993035126995014,7.862e+18,75000000000000,1
22,1320,3.74727260282398e-08,2.65522829321835e-10,1.56510987942348e-10,2.99389783059385e-09,0.997488907544252,7.8432e+18,75000000000000,1
23,1380,3.7298630020405e-08,2.65612198928883e-10,1.58000751440072e-10,3.01508933209826e-09,0.999720781865127,7.84e+18,75000000000000,1
24,1440,3.74668918644664e-08,2.69183547137912e-10,1.54580456779792e-10,2.9700706387651e-09,0.999720781865127,7.8704e+18,75000000000000,1
25,1500,3.70772216155248e-08,2.60145710986628e-10,1.57342882151388e-10,2.9807466701108e-09,0.997488907544252,7.8176e+18,75000000000000,1
26,1560,3.75211439170612e-08,2.7132722381332e-10,1.53423487906201e-10,2.95959871427945e-09,0.993035126995014,7.8232e+18,75000000000000,1
27,1620,3.73969311337124e-08,2.6341864200868e-10,1.47321755321412e-10,2.98141160743872e-09,0.986379331882518,7.8344e+18,75000000000000,1
28,1680,3.75060631429891e-08,2.52951659094525e-10,1.54375358170001e-10,2.94013256280248e-09,0.977551248603456,7.7416e+18,75000000000000,1
29,1740,3.74308995016181e-08,2.48072528134506e-10,1.62773691973062e-10,2.97895617698352e-09,0.966590305520801,7.88e+18,75000000000000,1
