radius,curvature,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wake_intrusion_ratio
0.7606722580936703,1.8564574707359565,1.8312802737206098,diffuse,-0.16783656729665042,-0.025133081174198737,0.026277304521940645,8988.011295971903,155.44290838946034,0.001,0.164
0.6107260353897987,2.2542095845872994,1.5452939435828665,diffuse,-0.13815819673777546,-0.028804439687295957,-0.016525632829898496,4888.972656041885,153.47258678559893,0.0,0.181
0.42403636681058976,2.325979589462145,2.534360044800322,specular,-0.1735142435945474,-0.007714148089049987,0.0016740490576592632,3865.3440810371567,151.5081931147492,0.0,0.213
0.6828168259470178,1.9432724533880399,2.7923677837823107,diffuse,-0.17992810647143015,-0.01687829849234209,0.045222256559995566,11043.19356500065,146.9714859332476,0.0,0.209
0.9473917036889494,1.7550989641572214,2.1048988213876396,diffuse,-0.11522053341041405,-0.013345679299333169,-0.013208094125944703,16025.220589981072,162.603326621234,0.001,0.103
0.4402057386274226,2.1106352925838996,1.7867481356209791,specular,-0.13963158150394012,0.04833642569981712,-0.016423689307644783,2936.894690416158,144.21734782205414,0.0,0.27
0.30702930692846875,2.4048672568001823,1.5880936053481132,diffuse,-0.12892694714583047,-0.020742463921118084,-0.036775588872068526,1269.8411553161511,136.39238548136396,0.0,0.323
0.848196292376256,2.9220302709332895,2.4663576477717086,specular,-0.11068610931957756,0.029090132251638992,-0.030469463469144253,15050.898620071452,173.50171794748925,0.0,0.044
0.5119661589332636,2.912875465689712,2.4507930920147802,diffuse,-0.1271607454114416,-0.0011571809013407389,0.02705046481872768,5448.824177434287,164.23330612957437,0.0,0.113
0.6094983918163939,1.7112740480526591,1.5166662351894373,diffuse,-0.19245067332831123,-0.028145040387474063,-0.02539368254821859,4779.129330477887,149.73228484604488,0.005,0.19
0.7075301709783826,1.9042833752983366,2.059871366641618,specular,-0.18799618608667923,-0.03650699408533617,-0.007065169559616814,8746.688613504019,158.07340624530983,0.0,0.142
0.7065292028483635,2.145483169031519,1.9794488445451917,diffuse,-0.15756260314795412,-0.025963211480334328,-0.008254446430482142,8381.430610109117,154.1510182993726,0.0,0.177
0.6011603371270143,2.3310948351197878,1.730392788748403,diffuse,-0.15113071500447373,0.03532761667201538,0.022926797429311724,5304.433046790494,152.72671865738207,0.0,0.19
0.7122994172566922,2.9729202048566243,2.1111790213469135,diffuse,-0.15554844061533896,-0.03521740503338294,-0.010601646569279824,9085.814725768876,169.0142836690509,0.002,0.08
0.8091708681969456,2.9755404152951495,2.8438937723930886,specular,-0.1310743619113337,-0.04852704783639501,-0.036783342172028256,15794.558286462587,174.26037814821382,0.0,0.029
0.4502152348623123,2.284985982593116,1.8696431819954116,diffuse,-0.1586200584848811,-0.038317698362675005,-0.03658679495074638,3214.494899902033,144.77941383498015,0.0,0.254
0.6768631495418547,1.6586225020251324,2.9726657259761753,diffuse,-0.17248485824947593,0.044258011739144704,-0.039768384411866003,11552.113670336099,152.99125650799147,0.002,0.149
0.7397457926274201,2.901083370445477,1.8257068685007676,specular,-0.19135509747500212,-0.027007090759754104,-0.034547151889188436,8474.414332363758,170.48895952854988,0.002,0.062
0.7144360394771512,2.329446261734695,2.4664275945320298,diffuse,-0.1364365328162352,0.035154678077874715,0.0263831170029572,10678.46223392165,157.63401597018276,0.0,0.15
