profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
pyramid,1.4678834266206022,1.3695968030346797,0.0018465832871487578,specular,-1.294750692400528,-0.04994096397060619,-0.03960134374650755,72.87100895374958,71.80371755653017,0.0,0.0,0.122,PyramidWake
cap,5.155888514080894,1.6516159255821958,0.002645158318670906,specular,-1.00795768606503,0.04618816385244494,-0.014312464707620001,16.450427155383153,89.89531682070331,0.0,0.0,0.6603,WakeCone
flat,3.7697745854561413,0.0,0.0024588757017883047,diffuse,-1.0041932748883156,-0.020879479464233675,-0.00390881281603582,296.4018955285362,44.83219983809319,0.0,0.0,0.3027,WakeCone
pyramid,5.852703048128869,1.4964290289320945,0.002360175067995925,specular,-1.3964253678765939,-0.012652763663507594,-0.04631345992467548,1571.471567480727,66.899450875185,0.0,0.0,0.1072,PyramidWake
cupola,5.203256047670566,1.0,0.002919614254526037,specular,-1.4281084444908867,0.011559657521236569,0.026769086010517654,3171.2989059611564,101.65811858862513,0.0004,3.2179180644908355e+18,0.8731,WakeCone
cupola,3.220735950990359,1.0,0.0019752213245236862,diffuse,-1.1428411594413728,-0.014104375491176283,0.03835544484592546,822.0293324459651,61.61327580594909,0.0021,6.507942895632228e+18,0.2604,WakeCone
cap,4.473880706320077,2.8264248093222335,0.0015867485627196784,specular,-1.1836056873294851,0.004802168845254438,0.026273381659406445,3.3695885447081753,89.25134232182515,0.0,0.0,0.6561,WakeCone
pyramid,4.982889275931326,0.8635551331715938,0.0025514912364858495,specular,-1.4390454701870374,0.026262782873178972,0.03179728734768188,904.0002132828221,97.99685322330136,0.0,0.0,0.1113,PyramidWake
pyramid,4.710920085996839,1.3188445528384403,0.0024225641368559297,diffuse,-1.3718374732260585,-0.02935648824953472,0.00012845563691371575,961.0242606415908,54.48724681720904,0.0,0.0,0.1055,PyramidWake
flat,1.6873028966052674,0.0,0.0019387406336321743,specular,-1.3060780737879956,-0.01835805976820986,-0.03450158651237792,46.8187111108177,12.846962716636813,0.0,0.0,0.3109,WakeCone
cap,1.9827372836141364,2.3301174968218072,0.0018425846417770273,specular,-1.4267170945412524,0.03786371105337977,-0.03387901277544236,5.757254626503466,88.85596873090302,0.0,0.0,0.6401,WakeCone
cupola,4.761137171806032,1.0,0.0024014242227492467,specular,-1.2676507525341176,0.019448855547964244,0.04383729283908165,2183.994709409282,101.3153802330341,0.0007,4.754154912012321e+18,0.8822,WakeCone
flat,5.541946405928693,0.0,0.002326063847548571,diffuse,-1.37941762646343,-0.0486210391392558,0.029894077485074805,605.9822612732718,45.75192719845946,0.0,0.0,0.3143,WakeCone
flat,2.804374934968477,0.0,0.0027918749415966494,diffuse,-1.2836001716213523,-0.04368084910857008,0.00497817399225494,186.2437687236156,45.473029509603656,0.0,0.0,0.302,WakeCone
pyramid,5.435797121908665,0.7742529129911223,0.002129460674527554,specular,-1.4395311246121927,-0.0411216904102973,-0.012512178505048259,859.4241996273798,104.19242729264178,0.0,0.0,0.1088,PyramidWake
cupola,2.380920489872208,1.0,0.0019455716890168623,specular,-1.322429589252387,0.03334786763369256,-0.0043640195351522665,442.4847729116654,101.12341485927855,0.002,3.3908165332379894e+18,0.6818,WakeCone
flat,2.4252874111434775,0.0,0.0021104561912374882,specular,-1.3287355566677168,0.014902454553929495,0.022877328603661262,105.29709829506453,12.817501071991881,0.0,0.0,0.3076,WakeCone
cap,2.312817417308257,1.8482826966781614,0.00264436431461393,diffuse,-1.1705210059697089,0.03543941518657172,0.02748873544694795,13.131916869974205,59.977362631181,0.0,0.0,0.4087,WakeCone
pyramid,3.1229256721095164,0.6853054696740069,0.0022826356674315036,specular,-1.1796170355730329,0.04257300142488411,-0.001646383311109459,291.4671820294454,110.79817156357879,0.0,0.0,0.1109,PyramidWake
cupola,4.784946082108032,1.0,0.001842429810882957,specular,-1.3013526815562628,0.020011705643980873,0.0016214382225445897,1692.4130124315227,101.37959670999041,0.0009,6.181480203670431e+18,0.8722,WakeCone
cupola,2.942478534363844,1.0,0.00280216439788453,diffuse,-1.3964297810986233,0.03327581420439844,0.046700001078205544,973.3779963834402,61.248591657870485,0.0021,5.452566066151793e+18,0.2268,WakeCone
flat,1.881867174852211,0.0,0.0015128759102602564,diffuse,-1.180509986142714,0.015027609022263244,0.01018019591989082,45.445917780155185,45.260271456264505,0.0,0.0,0.2981,WakeCone
cupola,2.03525837740214,1.0,0.0017044500783516873,specular,-1.4268512126315522,0.03892449948086457,0.04385323688009597,283.2596373436367,101.13813545361656,0.0032,3.967496240881941e+18,0.6047,WakeCone
flat,2.040518268579965,0.0,0.0015537261574607632,specular,-1.3560978443993563,0.02445364807511534,0.006209423202714691,54.874312072790744,12.832124259215936,0.0,0.0,0.3085,WakeCone
cap,2.0688166752500528,2.6387688134083143,0.0026655096655816626,diffuse,-1.085210982837071,0.0006411992202238342,0.02398948638317014,6.494133450142801,60.30869841699915,0.0,0.0,0.4165,WakeCone
cap,2.3566058087396184,1.7097279774861807,0.00196371407223907,diffuse,-1.2769443612893403,0.03937168966154174,-0.02755302741871899,11.396404302884354,59.47129864412786,0.0,0.0,0.4052,WakeCone
flat,1.336566746345441,0.0,0.002538553943368865,specular,-1.2258044962965413,0.002514278957979635,0.01587432253465325,38.46638169614397,12.84352388770652,0.0,0.0,0.2985,WakeCone
flat,5.333975644319775,0.0,0.0019681506423676674,specular,-1.4867980351564538,9.61198833893881e-05,0.005508884481378318,474.97858544231707,13.016441872110532,0.0,0.0,0.3105,WakeCone
cap,2.0802332851006593,2.868686634252761,0.0026924101812783904,diffuse,-1.169042103232293,0.007447132179635253,-0.013569686193170775,5.550327846444905,59.813604809122836,0.0,0.0,0.4084,WakeCone
flat,5.900089882882437,0.0,0.002048816833235589,diffuse,-1.2521798490890224,0.009624336523737433,-0.0009281819070897854,604.9702608712554,45.554876933828496,0.0,0.0,0.2969,WakeCone
cap,4.145898226225658,1.6823164171943303,0.001693083509300529,specular,-1.4228446272600372,-0.04124166861349873,0.04244683947145439,10.14861193162371,89.66589071873601,0.0,0.0,0.6553,WakeCone
cupola,1.8211082305680968,1.0,0.002369652717452298,diffuse,-1.4461954766388951,0.008090126618864234,-0.04101375317482876,315.2953199458201,61.60279032244444,0.0037,3.6854686974931753e+18,0.1108,WakeCone
pyramid,2.7358881153213956,1.3570516058226292,0.002229632301794583,diffuse,-1.33276717619871,-0.03672757537577599,-0.0199550859610818,303.83255441375553,53.9186986880694,0.0,0.0,0.1133,PyramidWake
pyramid,5.550551077652413,1.4413123849846978,0.0016189832997006537,specular,-1.254165605874581,0.029903816144629378,-0.008408264979272904,944.9938736979271,68.78681513853265,0.0,0.0,0.1054,PyramidWake
