profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
flat,4.1460590507161506,0.0,0.0015187607537723272,specular,-1.34133201324989,-0.016182759999139554,0.035274382369476026,221.4491254297018,12.94456380541938,0.0,0.0,0.3049,WakeCone
cap,4.556213252332409,1.9326387856954792,0.0029128378837923953,diffuse,-1.296480039674793,0.014171750151808618,-0.03226191373059241,13.229961023640914,59.27941365019085,0.0,0.0,0.4251,WakeCone
cupola,4.258915614451007,1.0,0.0029584913002605267,specular,-1.242069461049185,-0.019754902271400768,0.038636966052681826,2152.9288315443227,101.33611398622115,0.0012,6.525691204116438e+18,0.9747,WakeCone
cupola,5.340513704709742,1.0,0.002827965450608348,specular,-1.2665977420748573,-0.020357642218233753,-0.037541677211552216,3235.9475532038664,101.33867284098176,0.0009,7.695895612798202e+18,0.9757,WakeCone
cap,5.030720870107261,1.7695176380964002,0.002667340049052595,specular,-1.2816815366272727,-0.024994038995437274,0.04346188818327622,14.451476680471016,89.63781225880064,0.0,0.0,0.6552,WakeCone
pyramid,1.7372328503690884,0.9000471946606426,0.0024726652080753492,specular,-1.303723262864824,0.021571208711692533,-0.046891699517765256,108.43128855996358,95.84416088542818,0.0,0.0,0.8546,PyramidWake
cupola,1.0480428681984195,1.0,0.0020613853400675624,diffuse,-1.2457336891196191,-0.038400706062478744,-0.021636639919445325,90.84030509749722,61.7105073138912,0.0,0.0,0.1765,WakeCone
cupola,1.1774936083911012,1.0,0.0024174598822064124,specular,-1.0434760980922997,-0.022456829749861032,0.011289413478462594,134.47380682108093,101.82590384262211,0.0,0.0,0.97,WakeCone
pyramid,4.502636521816667,0.664333276688885,0.0016073622448640817,diffuse,-1.0347292053560881,0.023390002162579263,0.014404779086360953,422.5268598303557,65.33508144542265,0.0,0.0,0.3175,PyramidWake
flat,3.046208755735096,0.0,0.0021928517296165265,diffuse,-1.2036135016850529,-0.046731953627040794,-0.04207787101676766,172.60057124214302,45.192284119601425,0.0,0.0,0.31,WakeCone
