profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
flat,1.3771842398115166,0.0,0.0023504801431682037,diffuse,-1.0568056002460169,0.042800605391994304,-0.026316372621639175,37.814147304902825,45.708935881560556,0.0,0.0,0.3016,WakeCone
cap,4.748458185398883,2.0681991614263233,0.002118074799431557,diffuse,-1.293066366924972,-0.0366852175427719,-0.03332905260142981,8.400404718202246,60.01411739706941,0.0,0.0,0.4357,WakeCone
flat,1.1584085807377629,0.0,0.0016199974153153186,specular,-1.0874027814124072,-0.019936652391006407,0.018776167415728018,18.439599755722544,13.037204072119694,0.0,0.0,0.3122,WakeCone
flat,1.6748359552907717,0.0,0.0026356151929555465,specular,-1.15465380655008,0.03385897470570852,-0.04313966470248995,62.710489487491195,12.838137254104689,0.0,0.0,0.3082,WakeCone
pyramid,2.120935860327039,0.8428256827960029,0.001552710599193903,diffuse,-1.0391930271037932,0.04110814692162894,0.04869503986588998,98.65349845888325,61.172498536800894,0.0,0.0,0.1101,PyramidWake
cupola,2.1288287109227415,1.0,0.00297643108265443,diffuse,-1.188809724278085,0.01049576796091363,0.04391681523758563,541.1760591694208,62.10886856324169,0.0034,4.614394221756087e+18,0.1626,WakeCone
cupola,4.6199689139355105,1.0,0.0018450925600646882,specular,-1.4837647124627982,-0.03730790498966983,-0.023096762730357302,1580.001762456152,101.32926310795376,0.0009,5.710329834293337e+18,0.8397,WakeCone
cupola,5.94209675016616,1.0,0.002590578567375971,diffuse,-1.0079059960447123,-0.015700706045356,-0.04346171662469931,3669.758733707593,61.13070824819352,0.0001,1.0591114664138129e+18,0.3691,WakeCone
cap,3.7950930668477545,2.481267058187381,0.0028623021714282862,diffuse,-1.2210171974416806,0.040453463665353726,-0.035578128408326415,7.887004578767001,59.83795243996481,0.0,0.0,0.4312,WakeCone
cupola,2.693440105154662,1.0,0.001982534325215018,specular,-1.2018805921179951,0.03677162798041669,0.03713960783075965,577.0277072681057,101.25838236314256,0.0021,4.563335746418267e+18,0.7444,WakeCone
cupola,4.567440560537728,1.0,0.00283981643128034,specular,-1.470373721377882,0.0009898247491482298,0.013728825531541922,2376.825965584446,101.39551893773262,0.0012,7.498026021589104e+18,0.8423,WakeCone
flat,3.8114884182916633,0.0,0.0021169271156951997,specular,-1.114529605641638,-0.0014363321264034279,0.015019268966548344,260.86075780158654,12.90170729237053,0.0,0.0,0.3086,WakeCone
pyramid,2.544687551892553,0.9636514253483496,0.0021469713107243934,diffuse,-1.4569027348972432,-0.019429594384340124,-0.007145229421030706,208.5176004413222,58.818556369975944,0.0,0.0,0.111,PyramidWake
flat,5.6382921618532995,0.0,0.0022034294605478414,specular,-1.2924908156748467,0.03812392470898582,-0.022740907140000457,594.1661975799634,12.86123504562976,0.0,0.0,0.3144,WakeCone
cupola,4.062255915170658,1.0,0.0019627504915985675,diffuse,-1.3182196919310634,0.04540573487149628,0.047092241942223986,1299.4541526012915,61.94333678963866,0.0009,4.4183781828567055e+18,0.2967,WakeCone
flat,1.6970350303591761,0.0,0.0015051634694042166,diffuse,-1.1666176203515224,0.04085138449571378,0.003930858520028516,36.76875464010846,45.13854658470328,0.0,0.0,0.3069,WakeCone
